supermarket,product_code,category,name,price,lastUpdate,subcategory
Alcampo,55452,25,Plátano Canario extra bolsa,"2,89",1742743249.279279,estandar
Alcampo,59772,25,Banana a granel,"1,48",1742743249.279805,estandar
Alcampo,616252,25,ALCAMPO CULTIVAMOS LO BUENO Plátano de Canarias (Indicación Geográfica Protegida)  bandeja 700 g.,"3,99",1742743249.280063,estandar
Alcampo,56644,25,Plátano macho para freir a granel,"1,20",1742743249.280345,estandar
Alcampo,474889,25,"ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Plátanos bio con indicación geográfica protegida, bandeja 800 g.","4,29",1742743249.280538,estandar
Alcampo,76042,25,Plátano Canario 1ª a granel,"2,39",1742743249.280774,estandar
Alcampo,55905,25,"Bananas, Comercio Justo","2,49",1742743249.280929,estandar
Alcampo,54573,25,Plátano bandeja,"4,29",1742743249.28107,estandar
Alcampo,49436,25,Bananas ecológicas,"3,66",1742743249.281205,estandar
Alcampo,58120,25,Plátanos maduros de Canarias,"4,29",1742743249.281334,estandar
Alcampo,57540,25,Plátanos ecológicos bandeja de 800 g.,"2,85",1742743249.281468,estandar
Alcampo,55762,25,Plátano macho 600 gramos,"3,99",1742743249.281602,estandar
Alcampo,58424,25,Plátano macho a granel,"3,87",1742743249.281734,estandar
Alcampo,96150,25,Plátano Canario extra a granel,"3,99",1742743249.281874,estandar
Alcampo,57668,25,ALCAMPO CULTIVAMOS LO BUENO Naranjas  malla de 4 kg.,"4,60",1742743250.043328,estandar
Alcampo,199497,25,"TORRES Mandarinas 1,5 kg.","4,29",1742743250.043617,estandar
Alcampo,77081,25,ALCAMPO CULTIVAMOS LO BUENO Mandarina a granel.,"2,15",1742743250.043963,estandar
Alcampo,54650,25,"Naranjas de zumo malla 1,5 kg.","1,43",1742743250.044122,estandar
Alcampo,57229,25,Limones 750 g.,"1,29",1742743250.044252,estandar
Alcampo,57509,25,Mandarinas malla 1 kg,"1,69",1742743250.044381,estandar
Alcampo,56624,25,"ALCAMPO CULTIVAMOS LO BUENO Mandarinas  1,5 kg.","2,99",1742743250.044511,estandar
Alcampo,57781,25,ALCAMPO CULTIVAMOS LO BUENO Limón  malla de 1 kg.,"1,99",1742743250.044646,estandar
Alcampo,199532,25,ALCAMPO CULTIVAMOS LO BUENO Naranjas  malla 2 kg.,"2,90",1742743250.044776,estandar
Alcampo,77086,25,Naranja a granel ALCAMPO CULTIVAMOS LO BUENO,"1,85",1742743250.044905,estandar
Alcampo,199550,25,"TORRES Naranjas malla 1,5 kg.","2,99",1742743250.045018,estandar
Alcampo,74316,25,Pomelo rojo a granel,"1,49",1742743250.045135,estandar
Alcampo,74319,25,Lima a granel,"2,00",1742743250.04525,estandar
Alcampo,717750,25,AUCHAN BIO Limones ecológicos  Malla ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO 600 g.,"1,99",1742743250.045367,estandar
Alcampo,717752,25,Naranjas ecológicas de mesa 1 kg. ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO,"2,55",1742743250.045485,estandar
Alcampo,77085,25,Limón a granel ALCAMPO CULTIVAMOS LO BUENO,"2,19",1742743250.045599,estandar
Alcampo,55761,25,"Limas, bandeja de 500 gramos","1,99",1742743250.045716,estandar
Alcampo,568264,25,ALCAMPO CULTIVAMOS LO BUENO Naranjas de zumo Sanguina  malla 1 kg.,"2,29",1742743250.045838,estandar
Alcampo,895808,25,Naranjas IGP bandeja 1 kg.,"2,54",1742743250.04595,estandar
Alcampo,55127,25,ALCAMPO CULTIVAMOS LO BUENO Mandarina IGP barqueta 1 kg.,"2,29",1742743250.046055,estandar
Alcampo,96004,25,Naranjas de zumo malla 5 kg.,"4,75",1742743250.046146,estandar
Alcampo,236456,25,Limones IGP 4 piezas 500 gr.,"1,59",1742743250.046237,estandar
Alcampo,51919,25,Naranja zumo a granel,"1,01",1742743250.046328,estandar
Alcampo,717755,25,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Naranjas de zumo ecológicas  malla de 2 kg.,"4,99",1742743250.046416,estandar
Alcampo,199499,25,ALCAMPO CULTIVAMOS LO BUENO Mandarina de zumo 2 kg.,"3,25",1742743250.046504,estandar
Alcampo,199493,25,"ALCAMPO CULTIVAMOS LO BUENO Mandarinas  2,3 kg.","4,99",1742743250.046594,estandar
Alcampo,54607,25,Naranjas de zumo 4 kg.,"8,81",1742743250.046682,estandar
Alcampo,56974,25,Clementina a granel,"3,61",1742743250.046769,estandar
Alcampo,55624,25,Aguacates a granel,"3,05",1742743250.710291,estandar
Alcampo,55042,25,Mangos a granel,"2,07",1742743250.710598,estandar
Alcampo,23783,25,Aguacate light a granel,"4,19",1742743250.710735,estandar
Alcampo,766535,25,Aguacate malla de 500 g.,"2,49",1742743250.71086,estandar
Alcampo,58796,25,"ZESPRI Kiwi Sungold bandeja 600 g,","4,99",1742743250.710975,estandar
Alcampo,75101,25,Kiwis 1 kg.,"2,98",1742743250.711087,estandar
Alcampo,886064,25,Aguacate maduro 335 gr. aproximados,"3,25",1742743250.711195,estandar
Alcampo,57605,25,ZESPRI Kiwi Green bandeja 500 g.,"3,59",1742743250.711304,estandar
Alcampo,59024,25,Piña entera,"3,38",1742743250.71163,estandar
Alcampo,546778,25,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Aguacate ecológico  2 uds. 400 g.,"3,57",1742743250.711783,estandar
Alcampo,76074,25,Granadas a granel,"2,00",1742743250.711915,estandar
Alcampo,409084,25,Piña en rodajas FRITIFRESH 500 g.,"4,49",1742743250.712037,estandar
Alcampo,55101,25,Kiwi a granel,"3,04",1742743250.712154,estandar
Alcampo,57670,25,ALCAMPO CULTIVAMOS LO BUENO Kiwis  600 g. aprox.,"3,99",1742743250.712268,estandar
Alcampo,58727,25,ZESPRI Kiwi Sungold a granel.,"7,95",1742743250.712384,estandar
Alcampo,677968,25,CAÑA NATURE Pulpa de aguacate fresco para untar CAÑA NATURE Tarrina de 150g.,"1,89",1742743250.712498,estandar
Alcampo,53627,25,Coco 1 ud.,"1,49",1742743250.712606,estandar
Alcampo,55989,25,Papayas a granel,"5,10",1742743250.712719,estandar
Alcampo,75777,25,Piña entera DEL MONTE,"5,92",1742743250.712834,estandar
Alcampo,58362,25,Kiwis ecológicos bandeja de 600 g.,"3,99",1742743250.712944,estandar
Alcampo,886065,25,Mango maduro 400 gr. aproximados,"4,99",1742743250.713048,estandar
Alcampo,56745,25,Papayón a granel,"4,79",1742743250.713161,estandar
Alcampo,790313,25,ALCAMPO CULTIVAMOS LO BUENO Aguacate nacional madurado en árbol  2 uds.,"6,69",1742743250.713272,estandar
Alcampo,76067,25,Chirimoyas a granel,"5,24",1742743250.713383,estandar
Alcampo,886066,25,Papayón maduro 1 pz.,"7,09",1742743250.71349,estandar
Alcampo,56585,25,"Chirimoyas, cesta 1 kg.","4,79",1742743250.713597,estandar
Alcampo,200573,25,KIBI Bandeja de Kiwi amarillo  700g,"3,99",1742743250.713694,estandar
Alcampo,76059,25,ZESPRI Kiwi Green a granel.,"4,99",1742743250.713793,estandar
Alcampo,75742,25,Tamarindo 150 gramos,"1,99",1742743250.713891,estandar
Alcampo,55755,25,Fruta de la Pasión 250 gramos,"4,29",1742743250.71399,estandar
Alcampo,954551,25,Mango troceado FRUTIFRESH 200 g.,"3,97",1742743250.714088,estandar
Alcampo,634928,25,Piña extradulce troceada FRUTIFRESH 400 g.,"4,38",1742743250.714185,estandar
Alcampo,569166,25,Piña preparada troceada FRUTIFRESH 350 g.,"4,07",1742743250.714278,estandar
Alcampo,75698,25,Piatahaya roja bandeja 350 g,"4,28",1742743250.71437,estandar
Alcampo,56457,25,Physalis Alquenquenje ESSENCIA del Trópico 100 gr.,"1,69",1742743250.714458,estandar
Alcampo,75663,25,Chayote 250 gr,"1,42",1742743250.714635,estandar
Alcampo,58066,25,Ñame a granel,"1,91",1742743250.714728,estandar
Alcampo,18161,25,Kiwi verde Hayward SABOR SABOR bandeja,"3,05",1742743250.71487,estandar
Alcampo,55767,25,Caña de azúcar bandeja 500 gr,"1,99",1742743250.715077,estandar
Alcampo,764117,25,Coco de agua,"2,44",1742743250.715198,estandar
Alcampo,55756,25,Carambola 250 gramos,"5,09",1742743250.715302,estandar
Alcampo,72888,25,Fresón tarrina de 500 g.,"2,29",1742743251.181939,estandar
Alcampo,470965,25,AUCHAN Fresón Candela temprano ALCAMPO CULTIVAMOS LO BUENO 400 g.,"3,69",1742743251.182193,estandar
