supermarket,product_code,category,name,price,lastUpdate,subcategory
Eroski,17528126,1,"Aceite especial para freir KOIPE FRITOS, botella 1 litro","2,10",1743108108.683063,estandar
Eroski,322859,1,"Aceite de girasol EROSKI, garrafa 5 litros","8,70",1743108108.697981,estandar
Eroski,317826,1,"Aceite de girasol LANISOL, botella 1 litro","1,79",1743108108.710414,estandar
Eroski,379263,1,"Aceite de girasol KOIPESOL, botella 1 litro","2,57",1743108108.722264,estandar
Eroski,377150,1,"Aceite de girasol EROSKI, botella 1 litro","1,89",1743108108.733524,estandar
Eroski,18911701,1,"Aceite de girasol KOIPESOL, garrafa 3 litros","7,69",1743108108.744396,estandar
Eroski,10858876,1,"Aceite de girasol URZANTE, botella 1 litro","1,99",1743108108.75532,estandar
Eroski,175703,1,"Aceite de girasol KOIPESOL, garrafa 5 litros","9,45",1743108108.765759,estandar
Eroski,4196671,1,"Aceite alto oleico EROSKI, botella 1 litro","1,99",1743108108.776136,estandar
Eroski,15923311,1,"Aceite girasol tradicional COOSOL, botella 1 litro","2,49",1743108108.786531,estandar
Eroski,15923329,1,"Aceite de girasol especial para freir COOSOL, botella 1 litro","1,99",1743108108.796834,estandar
Eroski,152108,1,"Aceite de girasol BORGESOL, botella 1 litro","2,89",1743108108.80713,estandar
Eroski,379248,1,"Aceite de oliva 1º KOIPE, botella 1 litro","4,79",1743108120.836062,estandar
Eroski,12206637,1,"Aceite de oliva sabor CARBONELL, botella 1 litro","4,79",1743108120.854799,estandar
Eroski,355891,1,"Aceite de oliva 1º OLILAN, botella 1 litro","4,49",1743108120.868868,estandar
Eroski,377093,1,"Aceite de oliva sabor EROSKI, garrafa 5 litros","21,25",1743108120.881321,estandar
Eroski,377044,1,"Aceite de oliva 1º EROSKI, botella 1 litro","4,65",1743108120.893323,estandar
Eroski,819128,1,"Aceite de oliva 1º URZANTE, botella 1 litro","5,99",1743108120.904728,estandar
Eroski,25505462,1,"Aceite de oliva intenso COOSUR, botella 1 litro","5,99",1743108120.91602,estandar
Eroski,17971193,1,"Aceite de oliva intenso LA ESPAÑOLA, botella 1 litro","6,49",1743108120.936623,estandar
Eroski,429175,1,"Aceite de oliva 1º YBARRA, botella 1 litro","4,29",1743108120.950539,estandar
Eroski,711283,1,"Aceite de oliva Sumum LA MASIA, botella 1 litro","6,19",1743108120.962849,estandar
Eroski,9191669,1,"Aceite de oliva Sumum LA MASÍA, garrafa 3 litros","15,54",1743108120.974444,estandar
Eroski,379271,1,"Aceite de oliva 0,4º CARBONELL, botella 1 litro","4,79",1743108130.435008,estandar
Eroski,16223596,1,"Aceite de oliva 0,4º CARBONELL, garrafa 3 litros","18,45",1743108130.453997,estandar
Eroski,355909,1,"Aceite de oliva 0,4º OLILAN, botella 1 litro","4,49",1743108130.468925,estandar
Eroski,5385075,1,"Aceite de oliva suave 0,4º KOIPE, botella 1 litro","4,79",1743108130.481553,estandar
Eroski,156430,1,"Aceite de oliva 0,4º CARBONELL, garrafa 5 litros","29,99",1743108130.493567,estandar
Eroski,148825,1,"Aceite de oliva 0,4º CARBONELL, lata 5 litros","32,95",1743108130.50494,estandar
Eroski,366666,1,"Aceite de oliva suave EROSKI, garrafa 5 litros","21,25",1743108130.516276,estandar
Eroski,377176,1,"Aceite de oliva 0,4º EROSKI, botella 1 litro","4,65",1743108130.527219,estandar
Eroski,811372,1,"Aceite de oliva 0,4º YBARRA, botella 1 litro","4,29",1743108130.53852,estandar
Eroski,818948,1,"Aceite de oliva 0,4º URZANTE, botella 1 litro","5,99",1743108130.550118,estandar
Eroski,16619728,1,"Aceite de oliva 0,4º LA ESPAÑOLA, botella 1 litro","6,49",1743108130.561862,estandar
Eroski,25505454,1,"Aceite de oliva suave COOSUR, botella 1 litro","5,99",1743108130.573631,estandar
Eroski,711614,1,"Aceite de oliva 0,4º LA MASIA, botella 1 litro","6,19",1743108130.584743,estandar
Eroski,3291614,1,"Aceite de oliva 0,4º YBARRA, lata 5 litros","27,20",1743108130.595539,estandar
Eroski,9191487,1,"Aceite de oliva suave LA MASIA, garrafa 3 litros","15,54",1743108130.606553,estandar
Eroski,23891401,1,"Aceite de oliva 0,4º COOSUR, botella 75 cl","5,15",1743108130.617332,estandar
Eroski,16619751,1,"Aceite de oliva 0,4º LA ESPAÑOLA, garrafa 5 litros","25,45",1743108130.628252,estandar
Eroski,6984447,1,"Aceite de oliva virgen extra CARBONELL, botella 1 litro","7,99",1743108170.903989,estandar
Eroski,15348246,1,"Aceite de oliva virgen CARBONELL, botella 1 litro","7,69",1743108170.916287,estandar
Eroski,371658,1,"Aceite de oliva virgen extra EROSKI, botella 1 litro","5,85",1743108170.927943,estandar
Eroski,880799,1,"Aceite de oliva virgen extra HOJIBLANCA, botella 1 litro","8,29",1743108170.939694,estandar
Eroski,17985870,1,"Aceite oliva virgen extra hojiblanca CARBONELL, botella 1 litro","8,29",1743108170.951087,estandar
Eroski,17985847,1,"Aceite de oliva v. extra arbequina CARBONELL, botella 1 litro","8,29",1743108170.962492,estandar
Eroski,446930,1,"Aceite de oliva v. extra CARBONELL G. SELECCIÓN, botella 75 cl","7,49",1743108170.973467,estandar
Eroski,3430469,1,"Aceite de oliva virgen extra HOJIBLANCA, garrafa 3 litros","20,99",1743108170.985078,estandar
Eroski,17985656,1,"Aceite de oliva virgen extra picual CARBONELL, botella 1 litro","8,29",1743108170.996014,estandar
Eroski,8462459,1,"Aceite de oliva virgen extra CARBONELL, garrafa 3 litros","20,95",1743108171.007057,estandar
Eroski,986505,1,"Aceite de oliva virgen extra KOIPE, botella 1 litro","7,99",1743108171.018148,estandar
Eroski,18911693,1,"Aceite de oliva virgen extra CARBONELL, spray  20 cl","2,65",1743108171.029136,estandar
Eroski,984034,1,"Aceite de oliva virgen extra HOJIBLANCA, garrafa 5 litros","34,69",1743108171.040022,estandar
Eroski,15633126,1,"Aceite de oliva virgen plancha y airfryer CARBONELL, spray 20 cl","2,80",1743108171.051133,estandar
Eroski,20938825,1,"Aceite de oliva virgen extra blend nº5 HOJIBLANCA, botella 50 cl","5,45",1743108171.062204,estandar
Eroski,3159126,1,"Aceite de oliva virgen extra Arbequina CARBONELL, botella 75 cl","7,99",1743108171.073246,estandar
Eroski,3388568,1,"Aceite de oliva virgen extra CARBONELL, botellín 25 cl","2,65",1743108171.086223,estandar
Eroski,24436305,1,"Aceite de oliva virgen extra eco HOJIBLANCA, botella 750 ml","7,95",1743108171.097409,estandar
Eroski,3849460,1,"Aceite de oliva virgen Picual CARBONELL, botella 75 cl","7,99",1743108171.108814,estandar
Eroski,21757158,1,"Aceite de oliva virgen extra ecológico CARBONEL, botella 75 cl","7,99",1743108171.120091,estandar
Eroski,3849510,1,"Aceite de oliva virgen Regium CARBONELL, botella 75 cl","7,99",1743108171.132178,estandar
Eroski,16429425,1,"Aceite de oliva virgen CARBONELL, garrafa 3 litros","19,95",1743108171.143155,estandar
Eroski,26687822,1,"Aceite de oliva virgen extra CARBONELL, dosificador 460 ml","2,99",1743108171.154555,estandar
Eroski,20970562,1,"Aceite de oliva virgen extra bio CARAPELLI, botella 1 litro","10,95",1743108171.165377,estandar
Eroski,20938833,1,"Aceite de oliva virgen extra Blend nº7 HOJIBLANCA, botella 50 cl","5,45",1743108171.178751,estandar
Eroski,21725650,1,"Aceite de oliva virgen extra CARBONELL, botella 50 cl","4,25",1743108171.190211,estandar
Eroski,23862253,1,"Aceite de oliva virgen extra eco HOJIBLANCA, botella 50 cl","6,25",1743108171.201413,estandar
Eroski,26687848,1,"Aceite oliva 0,4º formato aceitera CARBONELL, dosificador 460 ml","2,99",1743108171.212228,estandar
Eroski,3854569,1,"Aceite de oliva virgen extra EROSKI, garrafa 3 litros","16,65",1743108171.223009,estandar
Eroski,15923279,1,"Aceite oliva virgen extra Hojiblanca COOSUR, botella 1 litro","8,89",1743108171.234135,estandar
Eroski,16210403,1,"Aceite de oliva virgen COOSUR Serie Oro, botella 1 litro","7,69",1743108171.24527,estandar
Eroski,15923287,1,"Aceite oliva virgen extra Picual COOSUR, botella 1 litro","8,89",1743108171.256695,estandar
Eroski,818955,1,"Aceite de oliva virgen extra URZANTE, botella 1 litro","6,89",1743108171.267539,estandar
Eroski,16809394,1,"Aceite de oliva virgen GUILLEN, garrafa 5 litros","22,89",1743108171.278171,estandar
Eroski,15923295,1,"Aceite oliva virgen extra Arbequina COOSUR, botella 1 litro","8,89",1743108171.28911,estandar
Eroski,16619777,1,"Aceite de oliva virgen extra LA ESPAÑOLA, garrafa 5 litros","24,95",1743108171.300669,estandar
Eroski,17528969,1,"Aceite de oliva virgen COOSUR Serie Oro, garrafa 3 litros","18,95",1743108171.311871,estandar
Eroski,1242478,1,"Aceite de oliva virgen extra EROSKI, botella 75 cl","6,55",1743108171.323128,estandar
Eroski,21028121,1,"Aceite de oliva virgen GUILLEN, botella 1 litro","4,95",1743108171.333857,estandar
Eroski,24139057,1,"Aceite de oliva virgen extra EROSKI BIO, botella 75 cl","7,55",1743108171.344379,estandar
Eroski,12236972,1,"Aceite oliva v. extra DO Siurana Eroski SELEQTIA, botella 50 cl","5,99",1743108171.376393,estandar
Eroski,15266596,1,"Aceite de oliva virgen extra eco ORO DE GÉNABE, botella 75 cl","12,11",1743108171.387844,estandar
Eroski,26515098,1,"Aceite de oliva virgen extra trujal MENDIA, botella 1 litro","6,75",1743108171.39923,estandar
Eroski,157115,1,"Aceite de oliva virgen extra arbequina BORGES, botella 75 cl","11,29",1743108171.410402,estandar
Eroski,24148793,1,"Aceite oliva virgen extra arroniz TRUJAL TUDELA, botella 1 litro","6,99",1743108171.421583,estandar
Eroski,19180868,1,"Aceite de oliva virgen extra URZANTE, botella 75 cl","6,79",1743108171.432561,estandar
Eroski,5001243,1,"Aceite de oliva virgen extra OLEOESTEPA, botella 1 litro","12,16",1743108171.443236,estandar
Eroski,17481854,1,"Aceite de oliva virgen extra COOSUR, botella 1 litro","6,79",1743108171.453982,estandar
Eroski,25956897,1,"Aceite de oliva virgen extra LA ESPAÑOLA, botella 1 litro","5,69",1743108171.464809,estandar
Eroski,16619744,1,"Aceite de oliva virgen extra LA ESPAÑOLA, botella 75 cl","6,95",1743108171.475663,estandar
Eroski,6742027,1,"Aceite de oliva virgen extra YBARRA, botella 1 litro","5,59",1743108171.486381,estandar
Eroski,18121848,1,"Aceite de oliva virgen extra COOSUR, botella 250 ml","2,99",1743108171.497043,estandar
Eroski,18000620,1,"Aceite de oliva virgen extra EUSKO LABEL ARROLAN, botella 50 cl","8,86",1743108171.507931,estandar
Eroski,16620775,1,"Aceite de oliva virgen LA ESPAÑOLA, botella 1 litro","5,29",1743108171.518707,estandar
Eroski,23874308,1,"Aceite de oliva v. extra primera cosecha JAENCOOP, botella 50 cl","7,13",1743108171.529342,estandar
Eroski,429167,1,"Aceite de oliva virgen extra YBARRA, botella 75 cl","6,99",1743108171.539979,estandar
Eroski,20938924,1,"Aceite de oliva virgen extra Nº3 ELIZONDO, botella 1 litro","22,78",1743108171.551183,estandar
Eroski,4534178,1,"Aceite de oliva virgen extra LA MASIA, botella 1 litro","7,19",1743108171.56265,estandar
Eroski,25505447,1,"Aceite para airfryer LA ESPAÑOLA, spray 200 ml","2,49",1743108171.573794,estandar
Eroski,24889214,1,"Aceite de oliva virgen extra eco COOSUR, botella 1 litro","8,99",1743108171.584478,estandar
Eroski,17315409,1,"Aceite de oliva virgen extra eco. Oleum DUERNAS, botella 50 cl","10,15",1743108171.595336,estandar
Eroski,17315383,1,"Aceite oliva virgen extra PALACIO DE LOS OLIVOS, botella 50 cl","9,43",1743108171.605899,estandar
Eroski,17168055,1,"Aceite de oliva virgen extra trufa LA ESPAÑOLA, botella 25 cl","3,69",1743108171.616741,estandar
Eroski,25272618,1,"Aceite de sésamo LA ESPAÑOLA SOY PLUS, botella 250 ml","3,19",1743108171.627521,estandar
Eroski,17168139,1,"Aceite de oliva virgen extra LA ESPAÑOLA GOURMET, botella 50 cl","5,99",1743108171.638287,estandar
Eroski,17972068,1,"Aceite de oliva virgen extra LA ESPAÑOLA, lata 1 litro","7,49",1743108171.649066,estandar
Eroski,12534038,1,"Aceite oliva virgen extra OLEOESTEPA, botella 75 cl","12,87",1743108171.659854,estandar
Eroski,25976465,1,"Aceite de oliva virgen GUILLEN GRAN SELECCIÓN, botella 50 cl","3,49",1743108171.670662,estandar
