supermarket,product_code,category,name,price,lastUpdate,subcategory
Mercadona,13204,14,Cacao soluble instantáneo Nesquik,6.95,1742775899.309546,estandar
Mercadona,13216,14,Cacao soluble instantáneo Nesquik,3.95,1742775899.310096,estandar
Mercadona,13006,14,Cacao soluble cero ColaCao,4.39,1742775899.310197,estandar
Mercadona,13021,14,Cacao soluble ColaCao original,5.99,1742775899.310269,estandar
Mercadona,13019,14,Cacao soluble ColaCao original,4.39,1742775899.31033,estandar
Mercadona,8914,14,Cacao soluble instantáneo Hacendado,2.70,1742775899.310388,estandar
Mercadona,35513,14,Cacao soluble Hacendado,4.20,1742775899.310449,estandar
Mercadona,12519,14,Cacao soluble Hacendado,2.60,1742775899.310503,estandar
Mercadona,86469,14,Cacao soluble ColaCao original,16.99,1742775899.310554,estandar
Mercadona,22849,14,Cacao soluble 0% azúcares añadidos Hacendado,4.05,1742775899.310614,estandar
Mercadona,67739,14,Cacao soluble instantáneo Nesquik,13.89,1742775899.310745,estandar
Mercadona,23231,14,Cacao soluble en sobres Hacendado,1.40,1742775899.310823,estandar
Mercadona,8911,14,Cacao soluble instantáneo Hacendado,4.05,1742775899.310888,estandar
Mercadona,22580,14,Cacao puro en polvo La Chocolatera,4.15,1742775899.310951,estandar
Mercadona,12017,14,Cacao en polvo a la taza Valor,3.75,1742775899.311017,estandar
Mercadona,10005,14,Chocolate líquido a la taza Hacendado,2.35,1742775899.311079,estandar
Mercadona,12129,14,Chocolate para hacer a la taza Valor,4.50,1742775899.311138,estandar
Mercadona,12585,14,Cacao en polvo a la taza Hacendado,1.70,1742775899.311196,estandar
Mercadona,10350,14,Café en cápsula extra fuerte Hacendado,3.65,1742775950.590772,estandar
Mercadona,10355,14,Café en cápsula descafeinado Hacendado,3.65,1742775950.590924,estandar
Mercadona,9847,14,Café en cápsula Colombia Hacendado,3.65,1742775950.591278,estandar
Mercadona,10352,14,Café en cápsula espresso Hacendado,3.65,1742775950.591332,estandar
Mercadona,10351,14,Café en cápsula ristretto Hacendado,3.65,1742775950.59138,estandar
Mercadona,52774,14,Café en cápsulas doble espresso Hacendado,3.65,1742775950.591426,estandar
Mercadona,13596,14,Café en cápsula descafeinado espresso Hacendado,3.65,1742775950.59147,estandar
Mercadona,11931,14,Café en cápsula espresso intenso Dolce Gusto,5.20,1742775950.591527,estandar
Mercadona,13636,14,Café en cápsula extra forte Hacendado,3.30,1742775950.591572,estandar
Mercadona,13635,14,Café en cápsula forte Hacendado,3.30,1742775950.591614,estandar
Mercadona,13634,14,Café en cápsula classic Hacendado,3.30,1742775950.591656,estandar
Mercadona,11869,14,Café en cápsula descafeinado espresso intenso Dolce Gusto,5.20,1742775950.591701,estandar
Mercadona,11801,14,Café con leche en cápsula Dolce Gusto,5.20,1742775950.591742,estandar
Mercadona,86348,14,Café con leche en cápsula Hacendado,3.30,1742775950.591787,estandar
Mercadona,11918,14,Café en cápsula ristretto napoli Dolce Gusto,5.20,1742775950.591828,estandar
Mercadona,11785,14,Café en cápsula cortado Dolce Gusto,5.20,1742775950.59187,estandar
Mercadona,23293,14,Café en cápsula descafeinado Hacendado,3.30,1742775950.59191,estandar
Mercadona,67659,14,Café cortado en cápsula Hacendado,3.30,1742775950.59195,estandar
Mercadona,23405,14,Café con leche en cápsula descafeinado Hacendado,3.30,1742775950.59199,estandar
Mercadona,23404,14,Cortado en cápsula descafeinado Hacendado,3.30,1742775950.592031,estandar
Mercadona,22801,14,Café en cápsula doble espresso Hacendado,3.30,1742775950.592071,estandar
Mercadona,52775,14,Café en cápsula cappuccino Hacendado,3.30,1742775950.592111,estandar
Mercadona,11873,14,Café en cápsula espresso Tassimo,5.89,1742775950.592157,estandar
Mercadona,11872,14,Café en cápsula largo Tassimo,5.89,1742775950.592203,estandar
Mercadona,11875,14,Café en cápsula cortado Tassimo,5.89,1742775950.592244,estandar
Mercadona,11874,14,Café en cápsula descafeinado Tassimo,5.89,1742775950.592284,estandar
Mercadona,11871,14,Café con leche en cápsula Tassimo,5.89,1742775950.592325,estandar
Mercadona,11770,14,Café monodosis natural Hacendado,2.75,1742775950.592369,estandar
Mercadona,11730,14,Café monodosis mezcla Hacendado,3.20,1742775950.592414,estandar
Mercadona,11777,14,Café monodosis descafeinado natural Hacendado,2.95,1742775950.592456,estandar
Mercadona,11178,14,Café molido natural Hacendado,4.60,1742775981.952431,estandar
